"Story","Title","Result","Date","Stability","Duration (s)"
"CreateCategory","POST - As an Admin I have be able to add new category for product","SUCCESS","2022-05-20T19:04:52.955+07:00[Asia/Bangkok]","0.0","7.3"
"CreateProduct","POST - As an Admin I have be able to add new product","SUCCESS","2022-05-20T19:05:00.295+07:00[Asia/Bangkok]","0.0","0.32"
"GetAllCategory","GET - As an Admin I have be able to get all data category","SUCCESS","2022-05-20T19:05:00.696+07:00[Asia/Bangkok]","0.0","1.29"
"GetAllProduct","GET - As an Admin I have be able to get all data product","SUCCESS","2022-05-20T19:05:02.039+07:00[Asia/Bangkok]","0.0","0.92"
"GetDetailsProduct","GET - As an Admin I have be able to get data details product","SUCCESS","2022-05-20T19:05:02.973+07:00[Asia/Bangkok]","0.0","0.27"
"LoginUser","POST - As an Admin I have be able to login","SUCCESS","2022-05-20T19:05:03.257+07:00[Asia/Bangkok]","0.0","0.18"
